Modelo,Neurona,Media,Desv_Std,Pct_Cerca_Cero,Tipo_Detector,Gradiente_H,Gradiente_V,Max_Pos_Ubicacion,Max_Neg_Ubicacion
NET2_aug,17,-0.0011817708145827055,0.004438741598278284,92.08,localizado,0.00229740422219038,0.002306347945705056,"(67, 63)","(35, 63)"
NET2_aug,18,-0.006127738859504461,0.02948831580579281,54.85,textura,0.008618400432169437,0.008959704078733921,"(26, 44)","(53, 85)"
NET2_aug,19,0.0037548893596976995,0.029452823102474213,52.78,textura,0.009111463092267513,0.009006584994494915,"(41, 22)","(50, 59)"
NET2_aug,20,0.011415209621191025,0.02621118165552616,53.14,textura,0.008487720042467117,0.008266018703579903,"(58, 84)","(12, 38)"
NET2_aug,21,-0.005784137174487114,0.018192537128925323,64.32,textura,0.005593942478299141,0.005586291663348675,"(78, 30)","(59, 77)"
NET2_aug,22,0.007722357288002968,0.03238987177610397,51.32,textura,0.009133514016866684,0.008966316469013691,"(84, 50)","(50, 73)"
NET2_aug,23,-0.0011188661446794868,0.004251341335475445,93.57,localizado,0.002071576891466975,0.002043497283011675,"(78, 45)","(66, 60)"
NET2_aug,24,0.007607188541442156,0.026285164058208466,54.690000000000005,textura,0.008155792951583862,0.008053425699472427,"(19, 59)","(16, 68)"
NET2_aug,25,-0.005725344642996788,0.011225459165871143,79.44,textura,0.0023710704408586025,0.002322730841115117,"(38, 63)","(35, 55)"
NET2_aug,26,-0.0030721002258360386,0.008974979631602764,79.62,textura,0.0032051648013293743,0.0032366272062063217,"(71, 68)","(39, 60)"
NET2_aug,27,-0.0025811856612563133,0.0072895013727247715,83.34,localizado,0.0030966114718466997,0.00313815800473094,"(30, 65)","(25, 49)"
NET2_aug,28,-0.010013638064265251,0.03133527562022209,63.04,textura,0.007520714774727821,0.00798369012773037,"(40, 55)","(74, 60)"
NET2_aug,29,-0.0007201473345048726,0.004125637002289295,92.96,localizado,0.0021828527096658945,0.0021475295070558786,"(73, 67)","(60, 67)"
NET2_aug,30,0.00018526894564274698,0.03256428986787796,50.78,textura,0.009394582360982895,0.009557385928928852,"(47, 18)","(77, 47)"
NET2_aug,31,-0.002534384373575449,0.031057395040988922,56.18,textura,0.008478247560560703,0.00899603683501482,"(71, 44)","(85, 48)"
NET2_aug,32,-0.0009831227362155914,0.004332609008997679,92.71000000000001,localizado,0.002307736314833164,0.002313152188435197,"(34, 60)","(38, 72)"
NET2_aug,33,-0.009271292947232723,0.018131202086806297,64.34,textura,0.005201028194278479,0.005186759866774082,"(50, 17)","(26, 28)"
NET2_aug,34,-0.011281403712928295,0.0239853672683239,65.55,textura,0.006029706448316574,0.005833781789988279,"(17, 63)","(49, 25)"
NET2_aug,35,-0.000618449121247977,0.0021959790028631687,98.35000000000001,localizado,0.000700712320394814,0.0007102524396032095,"(44, 68)","(50, 67)"
NET2_aug,36,0.007440859917551279,0.02472822554409504,55.81,textura,0.0077350810170173645,0.00777503801509738,"(20, 31)","(60, 48)"
NET2_aug,37,-0.002826526528224349,0.007195960730314255,83.8,localizado,0.0029296730645000935,0.002909874077886343,"(43, 57)","(30, 30)"
NET2_aug,38,-0.0031731382478028536,0.008764988742768764,80.28,localizado,0.0031413892284035683,0.00312648992985487,"(48, 76)","(49, 65)"
NET2_aug,39,-0.008584444411098957,0.017324192449450493,66.72,textura,0.0047637224197387695,0.00481803622096777,"(38, 51)","(31, 48)"
NET2_aug,40,-0.0007757492130622268,0.0022846770007163286,98.71,localizado,0.0008963838336057961,0.0008967331377789378,"(70, 71)","(73, 70)"
NET2_aug,41,-0.008807685226202011,0.030693115666508675,62.53999999999999,textura,0.008078967221081257,0.007690883707255125,"(29, 48)","(44, 26)"
NET2_aug,42,-0.0018955160630866885,0.005958891473710537,87.25,localizado,0.002487343503162265,0.002460509305819869,"(63, 78)","(63, 34)"
NET2_aug,43,0.0066503663547337055,0.022264884784817696,55.489999999999995,textura,0.007377590052783489,0.007619722280651331,"(68, 42)","(62, 54)"
NET2_aug,44,-0.0015383078716695309,0.004388650879263878,91.62,localizado,0.002386793028563261,0.0024227043613791466,"(65, 63)","(24, 51)"
NET2_aug,45,-0.004657252226024866,0.010174095630645752,76.73,textura,0.003520482685416937,0.0035235064569860697,"(57, 72)","(43, 26)"
NET2_aug,46,-0.006195873487740755,0.028398551046848297,55.97,textura,0.00846205186098814,0.008388901129364967,"(32, 71)","(46, 39)"
NET2_aug,47,-0.001684068818576634,0.024982471019029617,55.800000000000004,textura,0.007851095870137215,0.008161423727869987,"(39, 38)","(40, 55)"
NET2_aug,48,-0.0029052789323031902,0.01491942722350359,72.39,textura,0.00418685469776392,0.004352466203272343,"(43, 53)","(33, 40)"
NET2_aug,49,0.003822363680228591,0.026696201413869858,54.44,textura,0.008377407677471638,0.008514562621712685,"(38, 17)","(70, 38)"
NET2_aug,50,-0.0038250877987593412,0.024565093219280243,58.830000000000005,textura,0.006844923831522465,0.00686268275603652,"(79, 67)","(47, 40)"
NET2_aug,51,0.009484107606112957,0.02962108701467514,53.169999999999995,textura,0.008658252656459808,0.00877029076218605,"(33, 22)","(42, 32)"
NET2_aug,52,0.00783968809992075,0.027038248255848885,54.05,textura,0.008405893109738827,0.008435556665062904,"(42, 80)","(88, 55)"
NET2_aug,53,-0.0060562933795154095,0.019827615469694138,63.07000000000001,textura,0.006068516056984663,0.006211654748767614,"(59, 79)","(26, 57)"
NET2_aug,54,-0.003620575647801161,0.020244741812348366,57.58,textura,0.00696476548910141,0.006927874870598316,"(64, 61)","(78, 23)"
NET2_aug,55,-0.0019366737687960267,0.004766880534589291,90.52,localizado,0.0025018893647938967,0.0024728227872401476,"(50, 71)","(58, 33)"
NET2_aug,56,-0.01036575622856617,0.02606440894305706,65.25999999999999,textura,0.006545098964124918,0.006437386851757765,"(69, 28)","(23, 52)"
NET2_aug,57,-0.0011282460764050484,0.0033951629884541035,94.39999999999999,localizado,0.001318861497566104,0.001315303728915751,"(70, 58)","(52, 31)"
NET2_aug,58,-0.008746122010052204,0.030914096161723137,62.19,textura,0.007318955846130848,0.007239266764372587,"(65, 37)","(61, 23)"
NET2_aug,59,-0.004160440992563963,0.01079506054520607,76.87,textura,0.003454627702012658,0.003522386308759451,"(66, 51)","(61, 27)"
NET2_aug,60,-0.003222209867089987,0.007862773723900318,82.39999999999999,localizado,0.0032016371842473745,0.003125547431409359,"(25, 65)","(60, 61)"
NET2_aug,61,-0.00793125107884407,0.01620206981897354,67.97999999999999,textura,0.004706480074673891,0.004699043929576874,"(44, 39)","(30, 69)"
NET2_aug,62,-0.0025321629364043474,0.026997417211532593,56.489999999999995,textura,0.00842567440122366,0.00802266038954258,"(51, 23)","(27, 20)"
NET2_aug,63,-0.012179692275822163,0.023328281939029694,65.77,textura,0.00577292637899518,0.005830290261656046,"(69, 63)","(22, 38)"
NET2_aug,64,0.0037719616666436195,0.026384757831692696,53.0,textura,0.008563265204429626,0.00838426873087883,"(63, 27)","(41, 16)"
NET2_aug,65,-0.0034201389644294977,0.008038358762860298,79.95,textura,0.0032130666077136993,0.0032214655075222254,"(43, 23)","(62, 36)"
NET2_aug,66,0.0028041009791195393,0.026978351175785065,52.93,textura,0.008506977930665016,0.008386462926864624,"(54, 60)","(24, 31)"
NET2_aug,67,-0.005067044869065285,0.029503533616662025,58.95,textura,0.008151727728545666,0.007926248013973236,"(66, 56)","(34, 16)"
NET2_aug,68,-0.002048990922048688,0.006808594334870577,85.14,localizado,0.002876156708225608,0.0028662432450801134,"(78, 64)","(44, 27)"
NET2_aug,69,-0.0020052127074450254,0.014902660623192787,67.65,textura,0.004714281298220158,0.004603072069585323,"(20, 40)","(40, 75)"
NET2_aug,70,0.005632742308080196,0.021612385287880898,57.9,textura,0.007407193537801504,0.0074364240281283855,"(76, 57)","(57, 88)"
NET2_aug,71,-0.0032023899257183075,0.007782461121678352,82.01,localizado,0.003087713150307536,0.0031086094677448273,"(37, 25)","(45, 31)"
NET2_aug,72,-0.008909681811928749,0.022587310522794724,64.86,textura,0.006068579386919737,0.005816132295876741,"(40, 44)","(40, 78)"
NET2_aug,73,-0.0009604420629329979,0.0033819819800555706,94.89999999999999,localizado,0.0014518906828016043,0.0014555394882336259,"(53, 26)","(35, 27)"
NET2_aug,74,-0.005198853090405464,0.02808847650885582,56.11000000000001,textura,0.008517923764884472,0.008714130148291588,"(69, 38)","(60, 54)"
NET2_aug,75,-0.00519300764426589,0.011638822965323925,75.19,textura,0.0038711545057594776,0.0037216555792838335,"(48, 22)","(40, 53)"
NET2_aug,76,-0.003650686936452985,0.0077664535492658615,81.06,localizado,0.0030781670939177275,0.003093945560976863,"(56, 59)","(64, 61)"
NET2_aug,77,0.005477437749505043,0.0265536829829216,54.08,textura,0.008397298865020275,0.008330738171935081,"(79, 47)","(68, 25)"
NET2_aug,78,-0.0008761789067648351,0.0025415837299078703,97.81,localizado,0.0009933433029800653,0.000998625997453928,"(57, 27)","(70, 59)"
NET2_aug,79,-0.0010805815691128373,0.004197238478809595,93.31,localizado,0.002235559280961752,0.0022468906827270985,"(37, 81)","(30, 47)"
NET2_aug,80,0.0015604756772518158,0.0283323023468256,52.7,textura,0.009005462750792503,0.008939334191381931,"(45, 59)","(58, 84)"
NET2_aug,81,-0.005361313931643963,0.011006128042936325,74.32,textura,0.0036551349330693483,0.003600385272875428,"(70, 62)","(59, 24)"
NET2_aug,82,0.0027792106848210096,0.030339160934090614,53.61,textura,0.009104745462536812,0.009123270399868488,"(16, 41)","(50, 50)"
NET2_aug,83,-0.0011104807490482926,0.004188799764961004,93.33,localizado,0.0021954725962132215,0.002207439858466387,"(62, 63)","(55, 52)"
NET2_aug,84,-0.006103283725678921,0.01297710370272398,70.22,textura,0.004320648033171892,0.004287472926080227,"(43, 23)","(50, 61)"
NET2_aug,85,-0.006810308899730444,0.013943865895271301,71.89999999999999,textura,0.0040738265961408615,0.004029092378914356,"(37, 28)","(41, 79)"
NET2_aug,86,-0.0019842595793306828,0.007979711517691612,81.72,localizado,0.003302964847534895,0.0033234036527574062,"(76, 64)","(59, 53)"
NET2_aug,87,0.007111269515007734,0.025086114183068275,56.04,textura,0.007911769673228264,0.007958180271089077,"(38, 17)","(43, 43)"
NET2_aug,88,-0.005172932054847479,0.01129127200692892,74.08,textura,0.003837112570181489,0.003818189725279808,"(30, 45)","(33, 32)"
NET2_aug,89,0.008486310951411724,0.02807002142071724,52.980000000000004,textura,0.008616289123892784,0.008614019490778446,"(59, 58)","(14, 38)"
NET2_aug,90,0.006666726898401976,0.024858873337507248,53.82,textura,0.008357260376214981,0.00841743964701891,"(41, 23)","(25, 68)"
NET2_aug,91,-0.0068922266364097595,0.021334990859031677,61.08,textura,0.006198576185852289,0.006231027655303478,"(74, 60)","(39, 59)"
NET2_aug,92,-0.0034526833333075047,0.00864561740309,80.08,localizado,0.003289251122623682,0.0032787774689495564,"(40, 51)","(72, 54)"
NET2_aug,93,-0.0022048354148864746,0.02633734978735447,54.15,textura,0.008008467964828014,0.008309630677103996,"(82, 38)","(60, 43)"
NET2_aug,94,-0.0029419749043881893,0.026531225070357323,55.66,textura,0.00767492363229394,0.007749838754534721,"(72, 25)","(38, 20)"
NET2_aug,95,-0.009905941784381866,0.02968326210975647,62.49,textura,0.0074807386845350266,0.007406029850244522,"(39, 53)","(33, 23)"
NET2_aug,96,-0.002048707567155361,0.005916539579629898,87.17,localizado,0.002837885171175003,0.002820902271196246,"(77, 57)","(66, 45)"
NET2_aug,97,0.004071397706866264,0.025335514917969704,54.37,textura,0.008136858232319355,0.008173313923180103,"(58, 20)","(41, 34)"
NET2_aug,98,-0.009177029132843018,0.02232571691274643,65.29,textura,0.006136540323495865,0.006294161546975374,"(30, 52)","(23, 46)"
NET2_aug,99,-0.00866933073848486,0.02113877423107624,66.63,textura,0.005738736595958471,0.0056092101149261,"(63, 60)","(53, 54)"
NET2_aug,100,-0.0008995362441055477,0.004230341874063015,92.03,localizado,0.0019988371059298515,0.002056591212749481,"(82, 44)","(36, 38)"
NET2_aug,101,0.0045304992236196995,0.03665734827518463,48.13,textura,0.010744606144726276,0.010686159133911133,"(16, 58)","(42, 74)"
